cluster	nomenclature	taxon
3843	1.4.1.5.3.1.1.4.4	a/harrier/israel/531/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/turkey/jenin/341/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/11529s/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/11vir4453-264/2010_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/111127v/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/goose/egypt/m2788a/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/egypt/n6322/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/1125s/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/duck/egypt/11246s/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1113/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt/1158sf/2011_CLADE2.2.1.2
3843	1.4.1.5.3.1.1.4.4	a/chicken/egypt11vir4453-269/2010_CLADE2.2.1.2
